_ID;Time;Bline Convention Cntr;7th and Park Campus;Jordan and 7th;N College and RR;S Walnut and Wylie;
;01-01-2020 00:00:00;715;21;8;7;2;
;02-01-2020 00:00:00;659;54;27;5;8;
;03-01-2020 00:00:00;596;39;12;8;3;
;04-01-2020 00:00:00;495;17;2;6;7;
;05-01-2020 00:00:00;690;21;12;5;3;
;06-01-2020 00:00:00;817;79;39;13;6;
;07-01-2020 00:00:00;767;89;45;7;7;
;08-01-2020 00:00:00;805;87;45;8;7;
;09-01-2020 00:00:00;880;107;48;18;3;
;10-01-2020 00:00:00;401;28;17;4;4;
;11-01-2020 00:00:00;394;28;9;7;2;
;12-01-2020 00:00:00;736;50;26;9;3;
;13-01-2020 00:00:00;922;252;187;11;11;
;14-01-2020 00:00:00;1057;254;172;8;6;
;15-01-2020 00:00:00;807;240;162;13;11;
;16-01-2020 00:00:00;734;225;141;18;4;
;17-01-2020 00:00:00;589;183;128;12;9;
;18-01-2020 00:00:00;477;33;24;4;2;
;19-01-2020 00:00:00;275;25;24;5;4;
;20-01-2020 00:00:00;468;44;26;7;5;
;21-01-2020 00:00:00;688;192;127;11;9;
;22-01-2020 00:00:00;680;217;145;3;14;
;23-01-2020 00:00:00;737;203;139;16;12;
;24-01-2020 00:00:00;666;143;99;10;8;
;25-01-2020 00:00:00;516;38;28;4;6;
;26-01-2020 00:00:00;930;54;38;13;9;
;27-01-2020 00:00:00;718;226;142;9;10;
;28-01-2020 00:00:00;650;216;151;7;4;
;29-01-2020 00:00:00;744;226;159;8;8;
;30-01-2020 00:00:00;876;249;155;10;3;
;31-01-2020 00:00:00;648;135;101;10;12;
;01-02-2020 00:00:00;756;62;26;8;4;
;02-02-2020 00:00:00;1597;93;52;19;9;
;03-02-2020 00:00:00;1204;293;193;27;8;
;04-02-2020 00:00:00;495;124;90;7;6;
;05-02-2020 00:00:00;574;176;124;7;6;
;06-02-2020 00:00:00;602;174;105;8;6;
;07-02-2020 00:00:00;654;178;126;8;4;
;08-02-2020 00:00:00;632;50;35;7;2;
;09-02-2020 00:00:00;417;30;23;3;3;
;10-02-2020 00:00:00;627;162;117;4;7;
;11-02-2020 00:00:00;822;209;144;7;9;
;12-02-2020 00:00:00;483;147;125;6;3;
;13-02-2020 00:00:00;550;160;109;5;9;
;14-02-2020 00:00:00;513;96;79;5;5;
;15-02-2020 00:00:00;817;80;39;9;1;
;16-02-2020 00:00:00;1268;54;61;10;7;
;17-02-2020 00:00:00;878;215;136;17;2;
;18-02-2020 00:00:00;820;198;148;9;7;
;19-02-2020 00:00:00;930;228;154;9;7;
;20-02-2020 00:00:00;682;189;134;7;7;
;21-02-2020 00:00:00;784;149;111;7;3;
;22-02-2020 00:00:00;1444;101;41;19;7;
;23-02-2020 00:00:00;1318;75;61;21;4;
;24-02-2020 00:00:00;444;111;88;4;2;
;25-02-2020 00:00:00;640;140;96;3;5;
;26-02-2020 00:00:00;470;109;67;4;5;
;27-02-2020 00:00:00;623;149;108;10;3;
;28-02-2020 00:00:00;536;118;86;7;8;
;29-02-2020 00:00:00;871;70;37;5;3;
;01-03-2020 00:00:00;1625;97;55;20;3;
;02-03-2020 00:00:00;745;182;109;9;3;
;03-03-2020 00:00:00;1323;270;184;13;6;
;04-03-2020 00:00:00;1201;277;159;10;5;
;05-03-2020 00:00:00;1216;270;161;13;4;
;06-03-2020 00:00:00;618;156;86;5;3;
;07-03-2020 00:00:00;1268;92;62;16;4;
;08-03-2020 00:00:00;1935;143;75;14;4;
;09-03-2020 00:00:00;960;276;188;12;3;
;10-03-2020 00:00:00;762;207;129;6;6;
;11-03-2020 00:00:00;792;221;145;21;6;
;12-03-2020 00:00:00;793;145;119;15;6;
;13-03-2020 00:00:00;987;111;75;12;9;
;14-03-2020 00:00:00;426;16;5;4;2;
;15-03-2020 00:00:00;905;32;23;9;4;
;16-03-2020 00:00:00;794;47;20;7;6;
;17-03-2020 00:00:00;1092;61;36;11;8;
;18-03-2020 00:00:00;434;19;2;4;3;
;19-03-2020 00:00:00;453;19;7;1;2;
;20-03-2020 00:00:00;1026;38;28;13;7;
;21-03-2020 00:00:00;708;26;12;1;2;
;22-03-2020 00:00:00;512;9;9;2;4;
;23-03-2020 00:00:00;1116;53;47;5;5;
;24-03-2020 00:00:00;720;26;20;8;0;
;25-03-2020 00:00:00;1474;48;37;13;5;
;26-03-2020 00:00:00;1153;37;28;9;4;
;27-03-2020 00:00:00;1384;67;30;9;3;
;28-03-2020 00:00:00;1063;53;39;6;4;
;29-03-2020 00:00:00;1284;37;17;7;1;
;30-03-2020 00:00:00;1290;48;38;5;9;
;31-03-2020 00:00:00;633;22;15;5;1;
;01-04-2020 00:00:00;866;25;15;4;3;
;02-04-2020 00:00:00;1394;79;47;15;5;
;03-04-2020 00:00:00;1473;69;51;17;4;
;04-04-2020 00:00:00;1229;58;36;8;11;
;05-04-2020 00:00:00;807;32;13;9;4;
;06-04-2020 00:00:00;1379;74;52;21;11;
;07-04-2020 00:00:00;1430;77;59;18;10;
;08-04-2020 00:00:00;1399;61;55;20;6;
;09-04-2020 00:00:00;762;20;16;3;4;
;10-04-2020 00:00:00;870;28;27;3;5;
;11-04-2020 00:00:00;1195;70;42;15;7;
;12-04-2020 00:00:00;664;19;12;5;5;
;13-04-2020 00:00:00;653;24;16;3;10;
;14-04-2020 00:00:00;846;29;22;8;6;
;15-04-2020 00:00:00;640;21;16;1;4;
;16-04-2020 00:00:00;812;28;25;11;4;
;17-04-2020 00:00:00;339;9;10;2;4;
;18-04-2020 00:00:00;1514;78;69;15;8;
;19-04-2020 00:00:00;1057;41;34;10;5;
;20-04-2020 00:00:00;1490;97;58;26;8;
;21-04-2020 00:00:00;1221;54;44;10;7;
;22-04-2020 00:00:00;1652;97;81;20;9;
;23-04-2020 00:00:00;405;8;7;2;2;
;24-04-2020 00:00:00;1684;103;86;16;10;
;25-04-2020 00:00:00;990;48;34;5;4;
;26-04-2020 00:00:00;1054;67;42;10;3;
;27-04-2020 00:00:00;1347;87;63;23;17;
;28-04-2020 00:00:00;1453;80;73;23;14;
;29-04-2020 00:00:00;594;36;18;2;8;
;30-04-2020 00:00:00;586;18;17;4;5;
;01-05-2020 00:00:00;1704;94;69;23;19;
;02-05-2020 00:00:00;1732;140;68;21;14;
;03-05-2020 00:00:00;909;24;32;13;9;
;04-05-2020 00:00:00;1507;85;64;16;15;
;05-05-2020 00:00:00;615;24;14;1;6;
;06-05-2020 00:00:00;1391;86;60;9;6;
;07-05-2020 00:00:00;1355;79;71;19;8;
;08-05-2020 00:00:00;741;48;31;6;6;
;09-05-2020 00:00:00;1399;97;46;21;10;
;10-05-2020 00:00:00;799;31;19;7;1;
;11-05-2020 00:00:00;851;41;36;3;15;
;12-05-2020 00:00:00;1265;62;39;26;13;
;13-05-2020 00:00:00;881;45;36;14;6;
;14-05-2020 00:00:00;1540;103;71;29;8;
;15-05-2020 00:00:00;1101;65;53;11;18;
;16-05-2020 00:00:00;1805;132;109;30;12;
;17-05-2020 00:00:00;1125;79;46;14;16;
;18-05-2020 00:00:00;1100;61;37;11;21;
;19-05-2020 00:00:00;1059;45;45;9;12;
;20-05-2020 00:00:00;1049;67;41;11;12;
;21-05-2020 00:00:00;1291;55;44;13;6;
;22-05-2020 00:00:00;1628;88;80;40;16;
;23-05-2020 00:00:00;1495;83;52;20;25;
;24-05-2020 00:00:00;1487;66;49;28;11;
;25-05-2020 00:00:00;1468;113;80;14;13;
;26-05-2020 00:00:00;1338;105;59;26;9;
;27-05-2020 00:00:00;1282;68;66;20;8;
;28-05-2020 00:00:00;1309;74;54;27;14;
;29-05-2020 00:00:00;1351;67;43;19;10;
;30-05-2020 00:00:00;2173;119;70;41;13;
;31-05-2020 00:00:00;1774;82;78;27;17;
;01-06-2020 00:00:00;1478;96;69;30;14;
;02-06-2020 00:00:00;1459;85;60;35;12;
;03-06-2020 00:00:00;1287;90;67;23;15;
;04-06-2020 00:00:00;1094;65;44;17;7;
;05-06-2020 00:00:00;1523;122;88;36;21;
;06-06-2020 00:00:00;1372;112;63;40;9;
;07-06-2020 00:00:00;1412;79;67;37;13;
;08-06-2020 00:00:00;1463;80;68;16;18;
;09-06-2020 00:00:00;1024;41;47;20;5;
;10-06-2020 00:00:00;1222;66;49;18;14;
;11-06-2020 00:00:00;1440;102;82;49;15;
;12-06-2020 00:00:00;1418;91;62;32;7;
;13-06-2020 00:00:00;1761;115;70;30;19;
;14-06-2020 00:00:00;1782;99;78;36;4;
;15-06-2020 00:00:00;1521;102;70;29;11;
;16-06-2020 00:00:00;1571;90;66;19;18;
;17-06-2020 00:00:00;1459;106;56;23;15;
;18-06-2020 00:00:00;1366;114;72;30;14;
;19-06-2020 00:00:00;1345;103;71;28;11;
;20-06-2020 00:00:00;1371;87;80;48;19;
;21-06-2020 00:00:00;1064;45;28;12;11;
;22-06-2020 00:00:00;1251;95;76;19;19;
;23-06-2020 00:00:00;1570;97;67;27;17;
;24-06-2020 00:00:00;1438;123;51;38;10;
;25-06-2020 00:00:00;1398;110;65;38;16;
;26-06-2020 00:00:00;1226;107;42;27;10;
;27-06-2020 00:00:00;1186;63;31;14;15;
;28-06-2020 00:00:00;1217;74;51;29;11;
;29-06-2020 00:00:00;1104;54;49;22;10;
;30-06-2020 00:00:00;1296;96;65;28;10;
;01-07-2020 00:00:00;1299;116;63;21;14;
;02-07-2020 00:00:00;1278;100;56;28;17;
;03-07-2020 00:00:00;1385;87;66;30;11;
;04-07-2020 00:00:00;1285;86;41;33;16;
;05-07-2020 00:00:00;1081;73;46;28;11;
;06-07-2020 00:00:00;1038;87;44;18;14;
;07-07-2020 00:00:00;1230;94;66;38;10;
;08-07-2020 00:00:00;1120;93;53;34;13;
;09-07-2020 00:00:00;1104;88;79;36;15;
;10-07-2020 00:00:00;1290;107;47;31;19;
;11-07-2020 00:00:00;1083;75;36;24;5;
;12-07-2020 00:00:00;1461;94;71;26;10;
;13-07-2020 00:00:00;1444;87;70;38;26;
;14-07-2020 00:00:00;1285;79;55;30;6;
;15-07-2020 00:00:00;1308;91;66;40;20;
;16-07-2020 00:00:00;1304;83;76;33;13;
;17-07-2020 00:00:00;1225;74;67;24;8;
;18-07-2020 00:00:00;1298;68;50;27;9;
;19-07-2020 00:00:00;907;58;44;20;18;
;20-07-2020 00:00:00;1211;55;67;24;14;
;21-07-2020 00:00:00;1129;67;52;18;11;
;22-07-2020 00:00:00;956;58;40;17;11;
;23-07-2020 00:00:00;1222;70;62;37;21;
;24-07-2020 00:00:00;1252;88;70;20;12;
;25-07-2020 00:00:00;1375;100;49;35;16;
;26-07-2020 00:00:00;1131;70;41;19;15;
;27-07-2020 00:00:00;929;48;39;16;16;
;28-07-2020 00:00:00;1358;92;55;26;16;
;29-07-2020 00:00:00;1166;76;63;29;27;
;30-07-2020 00:00:00;362;18;18;3;5;
;31-07-2020 00:00:00;1021;71;45;20;9;
;01-08-2020 00:00:00;699;31;18;12;4;
;02-08-2020 00:00:00;1490;74;47;28;11;
;03-08-2020 00:00:00;963;74;49;6;14;
;04-08-2020 00:00:00;1429;102;84;26;22;
;05-08-2020 00:00:00;1382;97;86;23;10;
;06-08-2020 00:00:00;1296;101;63;24;11;
;07-08-2020 00:00:00;1424;114;65;23;7;
;08-08-2020 00:00:00;1464;103;81;37;18;
;09-08-2020 00:00:00;1280;64;56;16;9;
;10-08-2020 00:00:00;923;81;51;15;19;
;11-08-2020 00:00:00;1193;97;92;23;15;
;12-08-2020 00:00:00;1280;137;103;34;14;
;13-08-2020 00:00:00;1157;84;78;27;11;
;14-08-2020 00:00:00;1150;109;86;21;19;
;15-08-2020 00:00:00;1541;111;71;36;16;
;16-08-2020 00:00:00;1516;116;83;33;9;
;17-08-2020 00:00:00;1330;169;108;26;17;
;18-08-2020 00:00:00;1118;125;83;20;10;
;19-08-2020 00:00:00;1669;187;129;41;14;
;20-08-2020 00:00:00;1507;203;133;27;18;
;21-08-2020 00:00:00;1393;178;143;37;14;
;22-08-2020 00:00:00;1739;182;147;33;13;
;23-08-2020 00:00:00;1609;228;116;41;9;
;24-08-2020 00:00:00;1411;251;213;27;23;
;25-08-2020 00:00:00;1376;237;182;7;4;
;26-08-2020 00:00:00;1424;259;177;;;
;27-08-2020 00:00:00;1248;204;166;;;
;28-08-2020 00:00:00;1201;188;142;;;
;29-08-2020 00:00:00;1693;156;104;;;
;30-08-2020 00:00:00;1860;172;102;;;
;31-08-2020 00:00:00;1396;222;169;;;
;01-09-2020 00:00:00;1288;218;167;;;
;02-09-2020 00:00:00;1399;190;187;;;
;03-09-2020 00:00:00;1379;207;174;;;
;04-09-2020 00:00:00;1621;88;68;;;
;05-09-2020 00:00:00;1960;;;;;
;06-09-2020 00:00:00;1459;;;;;
;07-09-2020 00:00:00;1517;;;;;
;08-09-2020 00:00:00;1302;;;;;
;09-09-2020 00:00:00;1323;;;;;
;10-09-2020 00:00:00;1380;;;;;
;11-09-2020 00:00:00;420;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
